variety_id,variety_slug,category,label,url,type
200,purplette,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
201,vidalia-onion,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
202,garlic-chives,allium,NC State Extension,https://plants.ces.ncsu.edu/plants/allium-tuberosum/,extension
202,garlic-chives,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/1104647/nutrients,usda
203,german-extra-hardy-garlic,allium,NC State Extension,https://plants.ces.ncsu.edu/plants/allium-sativum/,extension
203,german-extra-hardy-garlic,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/1104647/nutrients,usda
204,japanese-bunching-onions,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170000/nutrients,usda
205,red-baron-shallots,allium,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170499/nutrients,usda
206,silver-queen,corn,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168538/nutrients,usda
207,honey-select,corn,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168538/nutrients,usda
